country,year,unemployment_percentage_change,inflation_percentage_change
Italy,2004,-11.309054008343669,-17.429718826032946
Italy,2005,-1.7162471395881007,-10.034891685537596
Italy,2006,-12.339930151338764,5.316642218428025
Italy,2007,-10.34380994540358,-12.48791393519184
Italy,2008,10.648452929558916,82.96755446697557
Italy,2009,15.261044176706818,-76.8576202196376
Italy,2010,7.923603045554262,96.8996864947198
Italy,2011,-0.0478297261748084,82.27489523035301
Italy,2012,27.467400406747224,9.376664536843249
Italy,2013,14.021586109807592,-59.886626824104816
Italy,2014,4.395423491645412,-80.24190741887303
Italy,2015,-6.20515650871244,-83.90756541150428
Italy,2016,-1.748486886348355,-342.37093971704337
Italy,2017,-4.081108829568791,-1404.5913406599857
Italy,2018,-5.360806350905367,-7.259936581282799
Italy,2019,-6.201696512723842,-46.263420835987
Italy,2020,-7.918006430868174,-122.52895909774888
Italy,2021,3.633784373635973,-1460.697312117342
Italy,2022,-15.03632726124038,337.6861559086467
Italy,2023,-5.589292353451492,-31.44743714310486
Japan,1990,0.0,35.48080572780117
Japan,1991,0.0,5.617063055024851
Japan,1992,4.808159300631365,-45.86140665134428
Japan,1993,17.655236329935132,-29.38374943551195
Japan,1994,13.824340291453318,-44.05210140040388
Japan,1995,8.996539792387527,-118.39061946709086
Japan,1996,7.396825396825402,-206.80326737388856
Japan,1997,-0.266036062666275,1179.5021914986328
Japan,1998,20.865441612329597,-62.12538884931992
Japan,1999,14.688572829818526,-151.55743722945238
Japan,2000,1.5180671370536691,98.23755460230804
Japan,2001,5.728727885425422,9.382030723273571
Japan,2002,7.290836653386457,24.787130425828185
Japan,2003,-2.5064983290011056,-72.22052243982733
Japan,2004,-9.845743667872798,-96.65809335348276
Japan,2005,-6.083650190114076,3200.2830269667024
Japan,2006,-5.713000449842543,-188.12814289354907
Japan,2007,-7.251908396946572,-75.9221086123615
Japan,2008,2.9320987654321007,2198.619940814252
Japan,2009,26.636681659170414,-198.02604526812905
Japan,2010,0.6906077348066253,-46.16917238786088
Japan,2011,-10.836762688614543,-62.587276749445486
Japan,2012,-4.219780219780223,-83.82690338818341
Japan,2013,-7.342817806333168,-860.3350451417704
Japan,2014,-11.11936602278356,723.5565633539406
Japan,2015,-5.684034550013939,-71.17744522532917
Japan,2016,-7.474150664697188,-116.00177334354488
Japan,2017,-9.897828863346104,-480.4842011609032
Japan,2018,-12.579730687455704,104.2740633455368
Japan,2019,-4.702067288204304,-52.60552833390361
Japan,2020,19.48107188430457,-105.33214702158094
Japan,2021,0.6763972944108021,833.5666855524804
Japan,2022,-8.062234794908052,-1170.354847584652
Japan,2023,-0.961538461538458,30.84557868743247
Korea,1990,0.0,50.403919644405335
Korea,1991,0.0,8.859140386914245
Korea,1992,4.403822185292894,-33.42525500831231
Korea,1993,14.524472741742954,-22.730096329658245
Korea,1994,-13.968033356497568,30.51164204927301
Korea,1995,-16.680129240710816,-28.4896016899198
Korea,1996,-0.7270964614638942,9.904666404105631
Korea,1997,27.34375,-9.861049917819775
Korea,1998,166.9861963190184,69.26549768432737
Korea,1999,-8.918569582076696,-89.18016118500195
Korea,2000,-35.93503626616209,177.89478350604645
Korea,2001,-8.95889736647797,80.00342768998921
Korea,2002,-17.65341984320087,-32.07400562068795
Korea,2003,9.914642153644127,27.24623456921822
Korea,2004,2.1505376344086,2.156221329568586
Korea,2005,1.8128654970760216,-23.30687576538808
Korea,2006,-6.547960941987374,-18.57262317836221
Korea,2007,-7.406269207129689,13.032524008727789
Korea,2008,-1.792233654165276,84.4056194487144
Korea,2009,13.653261236904356,-41.023586796092445
Korea,2010,-1.1596788581623607,6.631242920712599
Korea,2011,-9.98796630565584,36.97082496101951
Korea,2012,-6.0160427807486645,-45.67585555694015
Korea,2013,-2.3115220483641563,-40.4981585499881
Korea,2014,12.195121951219502,-2.041966506341697
Korea,2015,15.055158987670335,-44.59162840588561
Korea,2016,2.932882120699376,37.56789351959095
Korea,2017,0.0821917808219163,100.0988825872859
Korea,2018,4.681084040514638,-24.09531313512484
Korea,2019,-2.039748953974896,-74.04864533527989
Korea,2020,4.938601174586221,40.28396776416135
Korea,2021,-7.42813533452048,364.9895821333058
Korea,2022,-21.489420170376476,103.71635697181004
Korea,2023,-7.525376268813455,-29.31630610140591
Latvia,1990,0.0,0.0
Latvia,1991,0.0,0.0
Latvia,1992,144.44444444444443,0.0
Latvia,1993,153.03030303030303,-88.54786420455825
Latvia,1994,11.976047904191622,-67.03839176472314
Latvia,1995,1.6042780748663166,-30.476992757879927
Latvia,1996,8.947368421052637,-29.490249448926253
Latvia,1997,-28.01932367149757,-52.03203833998333
Latvia,1998,-2.9932885906040263,-45.02186066925066
Latvia,1999,-4.593884045938845,-49.08033425220373
Latvia,2000,3.0529369108049487,12.239266312090336
Latvia,2001,-2.744352966012253,-6.299875331711657
Latvia,2002,0.057882931770492,-22.04083123171725
